Date,High,Low,Open,Close,Volume,Adj Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sar,sarext,sma,t3,tema,trima,wma,rsi,slowk,slowd,fastk,fastd,macd,macdsignal,macdhist,adx,willr,cci,atr,ultosc,roc
2020-01-27,23463.890625,23317.3203125,23427.900390625,23343.509765625,62400000,23343.509765625,24231.125093618048,23772.4078125,23313.690531381955,,,,,,23644.134765625,23533.564453125,23293.605356107888,-24115.94921875,,,23468.8494244719,,,,9.536250730814013,22.99361132648343,,,,,,,-66.31693501598023,-131.10860064747433,266.2154017857143,,-2.1259891911651785
2020-01-28,23243.359375,23115.150390625,23126.9296875,23215.7109375,64400000,23215.7109375,24262.47338561438,23642.637890625,23022.80239563562,,,,,,23644.134765625,23533.564453125,24115.94921875,-24099.976640625,,,23232.492952496013,,,50.17487800087628,11.552638913331103,17.638851496534592,,,,,,,-77.28896207337155,-159.70906414626344,263.511399872449,,-3.3692123177783806
2020-01-29,23392.609375,23214.279296875,23309.3203125,23379.400390625,54900000,23379.400390625,24012.99522891992,23512.248046875,23011.50086483008,,,,,,23649.6103515625,23615.5498046875,24105.94123046875,-24060.583590625,,,23264.731395583218,,,52.840659466232594,15.844618660344713,12.31116943482994,,,,,,,-73.59609218417319,-135.34751782809784,257.42701974763116,,-2.24605560554757
2020-01-30,23318.5703125,22892.94921875,23284.580078125,22977.75,69600000,22977.75,23903.833390565902,23348.71015625,22793.586921934097,,,,,,23530.6298828125,23504.44921875,24096.033322070314,-24022.766262625,,,23017.048666617116,,,46.32468508313019,17.597535900057895,14.99826449124457,,,,,,,-93.06616670073589,-157.7937529795192,273.7858877567289,,-3.9918758017435163
2020-01-31,23421.58984375,23139.98046875,23148.919921875,23205.1796875,75400000,23205.1796875,23506.435461348716,23224.31015625,22942.184851151287,,,,,,23530.6298828125,23504.44921875,24071.971640003907,-23954.9772399925,,,23087.739263936914,,,50.06075740671974,32.20553094821239,21.882561836205,,,,,,,-74.47011702780048,-90.70498647526802,285.9325988991054,,-3.4776883003462933
2020-02-03,23023.73046875,22775.919921875,22874.26953125,22971.939453125,72500000,22971.939453125,23461.58927110262,23149.99609375,22838.40291639738,,,,,,23527.724609375,23445.9345703125,24048.39119157883,-23891.25555871795,,,22973.573274200666,,,46.504028324490065,31.24360381002698,27.015556886099088,,,,,,,-85.3719965893936,-125.71909306268356,296.17025366524075,,-4.615483055906466
2020-02-04,23118.130859375,22854.44921875,22881.130859375,23084.58984375,67900000,23084.58984375,23430.866484292837,23123.771875,22816.67726570716,,,,,,23527.724609375,23445.9345703125,24010.217053487715,-23802.028707770514,,,23017.107863909026,,,48.40111065830121,44.28406540109034,35.911066719776564,32.67378771192205,31.239308881181387,,,,,-76.96543481587827,-91.62790265558218,293.8496384480807,,-3.2683220861870588
2020-02-05,23414.689453125,23241.640625,23351.470703125,23319.560546875,70300000,23319.560546875,23380.36299244844,23111.80390625,22843.244820051557,,,,,,23527.724609375,23445.9345703125,23973.188139539332,-23719.940004898872,,,23213.864052110526,,,52.190130630169875,54.12105280670814,43.216240672608485,100.0,45.333930470706,,,,,-59.43069108505382,-33.323296860720816,296.4389220857178,,-2.9619188021896226
2020-02-06,23995.369140625,23625.130859375,23641.099609375,23873.58984375,95100000,23873.58984375,23918.345153446953,23290.971875,22663.598596553045,,,,,,23527.724609375,23442.0146484375,22775.919921875,22775.919921875,,,23694.36409840179,,,59.67149636884825,74.00588249873022,57.4703335688429,100.0,77.55792923730736,,,,,-17.60406755209425,63.03701085030412,323.5367557760237,,0.3284259186679517
2020-02-07,23943.44921875,23759.419921875,23899.009765625,23827.98046875,65400000,23827.98046875,24161.42119504651,23415.53203125,22669.64286745349,,,,,,23501.64453125,23428.8349609375,22788.1144140625,22800.30890625,,,23862.669574268162,,,58.8591118335258,86.82830634057986,71.6517472153394,93.7744078819538,97.92480262731794,,,,,-19.433579873912816,72.59069929800435,313.57193728309346,,0.003360789067374803
2020-02-10,23788.25,23621.720703125,23631.7890625,23685.98046875,56500000,23685.98046875,24171.421223097725,23558.340234375,22945.259245652273,,,,,,23501.64453125,23408.39453125,22800.186961328127,22824.2101109375,,23404.180336406695,23813.898327912968,,,56.30218998868762,83.05650908198147,81.29689930709718,69.76138080959083,87.84526289718156,,,,,-28.055566706914494,49.8555435577079,305.9067821646582,,1.4670917379755455
2020-02-12,23869.73046875,23693.720703125,23741.2109375,23861.2109375,74600000,23861.2109375,24129.83608979336,23713.664453125,23297.492816456637,,,,,,23422.7646484375,23385.64453125,22812.138783121096,22847.63329153125,,23449.521208839113,23895.1361924393,,,58.675713895876726,80.45222379082452,83.44567973779527,86.05479567316645,83.1968614549037,,,,,-11.00154078269198,78.58190799004657,297.1812977243254,,2.780444681352967
2020-02-13,23908.849609375,23784.310546875,23849.759765625,23827.73046875,64500000,23827.73046875,23949.594742908346,23815.2984375,23681.002132091657,,,,,,23422.7646484375,23385.64453125,22823.971086696136,22870.588008513125,,23501.40046345256,23891.13657730557,,,58.030453466071606,70.07263443007228,77.86045576762609,50.27436887037967,68.69684845104565,,,,,-13.74708100160485,85.16537162254228,284.84970949401645,,1.9176286416001442
